"Date","Price","Open","High","Low","Change %"
"Jan 25, 2022","28.6690","28.6750","28.7782","28.5921","0.06%"
"Jan 24, 2022","28.6519","28.2500","28.7004","28.2200","1.60%"
"Jan 21, 2022","28.2013","28.3598","28.3827","28.1901","-0.35%"
"Jan 20, 2022","28.2992","28.3725","28.3895","28.2425","0.13%"
"Jan 19, 2022","28.2616","28.4100","28.4655","28.2706","-0.28%"
"Jan 18, 2022","28.3411","28.2850","28.5448","27.8450","0.24%"
"Jan 17, 2022","28.2740","28.0400","28.3425","27.8450","0.98%"
"Jan 14, 2022","27.9996","27.8948","28.0354","27.8797","0.46%"
"Jan 13, 2022","27.8716","27.7696","27.9053","27.6852","0.43%"
"Jan 12, 2022","27.7511","27.6800","27.7854","27.6553","0.44%"
"Jan 11, 2022","27.6290","27.5200","27.6854","27.4641","0.53%"
"Jan 10, 2022","27.4838","27.4800","27.5504","27.4599","-0.04%"
"Jan 06, 2022","27.4953","27.5100","27.5406","27.4603","0.18%"
"Jan 05, 2022","27.4466","27.4400","27.4902","27.4191","-0.01%"
"Jan 04, 2022","27.4497","27.3150","27.4755","27.2775","0.73%"
"Dec 31, 2021","27.2500","27.3075","27.3075","27.2825","-0.11%"
"Dec 30, 2021","27.2790","27.2350","27.3463","27.2095","0.37%"
"Dec 29, 2021","27.1794","27.2152","27.2460","27.1625","0.02%"
"Dec 28, 2021","27.1747","27.2649","27.2755","27.1429","-0.27%"
"Dec 24, 2021","27.2492","27.2100","27.2804","27.1909","0.18%"
"Dec 23, 2021","27.1997","27.2897","27.3323","27.1904","-0.27%"
"Dec 22, 2021","27.2745","27.1800","27.3900","27.1700","0.49%"
"Dec 21, 2021","27.1418","27.2900","27.3170","27.1597","-0.47%"
"Dec 20, 2021","27.2704","27.3900","27.3900","27.2480","0.02%"
"Dec 17, 2021","27.2642","27.1801","27.3900","27.1696","0.33%"
"Dec 16, 2021","27.1748","27.1650","27.2424","27.1197","0.09%"
"Dec 15, 2021","27.1495","27.1200","27.2649","27.1078","0.33%"
"Dec 14, 2021","27.0597","26.9400","27.1100","26.8850","0.47%"
"Dec 13, 2021","26.9344","27.1325","26.9849","26.8430","0.24%"
"Dec 10, 2021","26.8698","27.0350","27.3900","26.8800","-0.48%"
"Dec 09, 2021","26.9998","27.1600","27.3900","27.0275","-0.55%"
